gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
CG4159, 0, 11.1, 12.4, 19.6, 18.3, 17.5, 22.7, 12.1, 7.67, 5.81, 5.87, 11.9, 9.59
CG4164, 0, 30.1, 49.5, 43.2, 45.6, 45.2, 50.8, 41.3, 25.5, 21.1, 15.8, 11.4, 11.0
CG4165, 0, 45.6, 47.4, 20.6, 24.7, 27.1, 29.3, 18.6, 22.0, 15.6, 11.6, 16.9, 13.3
CG4169, 5, 60.5, 20.6, 38.2, 48.5, 48.0, 114.0, 64.8, 125.0, 119.0, 195.0, 198.0, 151.0
CG4194, 0, 0.252, 2.67, 13.4, 30.6, 36.0, 53.3, 33.5, 6.33, 2.43, 1.71, 0.43, 1.01
CG4198, 0, 189.0, 21.0, 13.4, 5.2, 6.52, 2.91, 2.91, 2.73, 1.0, 1.82, 0.924, 1.8
CG4199, 0, 6.38, 1.33, 3.78, 6.95, 8.39, 12.2, 7.97, 6.33, 12.9, 20.6, 9.76, 12.1
CG4203, 0, 23.1, 32.4, 22.6, 17.2, 15.9, 14.2, 10.2, 11.6, 8.51, 6.12, 13.5, 10.2
CG42231, 0, 12.8, 18.9, 20.2, 15.6, 14.7, 7.16, 13.7, 7.56, 7.18, 4.33, 8.44, 8.87
CG42232, 0, 11.2, 9.33, 29.6, 18.8, 11.5, 2.29, 5.43, 2.6, 2.43, 1.11, 3.67, 3.75
CG42239, 0, 8.95, 8.09, 10.6, 6.27, 9.43, 13.2, 13.5, 2.44, 5.97, 5.24, 7.18, 12.9
CG42240, 0, 56.9, 56.4, 13.4, 8.56, 16.1, 15.2, 17.2, 17.8, 12.9, 10.1, 21.6, 22.1
CG42245, 0, 28.2, 47.6, 44.0, 35.6, 30.9, 22.7, 22.2, 17.9, 13.9, 10.6, 20.4, 16.6
CG4229, 5, 0.188, 0.181, 0.0493, 0.0852, 0.281, 0.287, 0.132, 2.51, 21.4, 201.0, 83.5, 64.2
CG4230, 0, 5.38, 8.56, 10.3, 8.43, 8.0, 11.8, 15.1, 10.6, 10.6, 8.2, 6.04, 7.73
CG42305, 5, 0.151, 0.0896, 0.125, 0.0858, 0.543, 0.601, 0.531, 9.09, 45.6, 248.0, 76.4, 130.0
CG42306, 0, 14.5, 16.9, 26.4, 21.0, 17.8, 16.8, 15.2, 11.0, 9.74, 7.19, 8.44, 10.2
CG42336, 0, 4.27, 7.42, 12.6, 13.3, 11.3, 13.1, 16.7, 11.7, 11.0, 10.3, 13.8, 14.6
CG42351, 0, 116.0, 5.2, 1.55, 0.703, 0.968, 0.911, 0.809, 1.19, 2.06, 3.36, 3.85, 7.25
CG42358, 0, 14.8, 18.0, 26.8, 29.0, 28.5, 33.7, 19.6, 13.5, 11.8, 9.32, 13.5, 13.9
CG42359, 0, 13.2, 11.9, 22.4, 24.6, 24.2, 28.0, 21.1, 12.0, 13.0, 10.0, 13.9, 15.5
CG42371, 0, 13.0, 11.3, 14.4, 13.7, 15.1, 19.5, 24.3, 10.2, 15.1, 13.7, 17.9, 23.3
CG42372, 0, 9.38, 9.25, 10.6, 9.81, 10.8, 9.82, 11.0, 9.73, 8.26, 10.3, 9.72, 10.5
CG42374, 0, 15.4, 21.2, 16.5, 21.3, 20.8, 26.4, 17.6, 15.2, 14.7, 12.9, 14.3, 15.7
CG42375, 0, 20.7, 31.4, 25.7, 14.6, 18.3, 22.0, 19.7, 15.1, 14.1, 8.95, 15.4, 17.3
CG42376, 0, 15.6, 24.0, 20.9, 12.1, 13.9, 12.2, 14.0, 6.71, 8.41, 5.52, 9.77, 11.9
CG42379, 0, 23.6, 15.9, 17.6, 15.3, 14.3, 16.4, 18.8, 14.2, 15.6, 15.6, 12.3, 14.8
CG42380, 0, 23.6, 15.9, 17.6, 15.3, 14.3, 16.4, 18.8, 14.2, 15.6, 15.6, 12.3, 14.8
CG42381, 0, 23.6, 15.9, 17.6, 15.3, 14.3, 16.4, 18.8, 14.2, 15.6, 15.6, 12.3, 14.8
CG42446, 0, 20.8, 35.0, 23.8, 17.0, 23.3, 21.1, 25.4, 10.7, 13.3, 10.6, 9.66, 11.6
CG42455, 0, 45.3, 27.0, 20.8, 21.7, 23.7, 33.0, 24.0, 25.8, 20.4, 18.7, 17.1, 16.0
CG42496, 0, 21.6, 24.0, 12.9, 16.5, 18.1, 17.2, 17.1, 14.9, 15.7, 12.9, 15.0, 16.2
CG42497, 5, 77.2, 78.3, 93.7, 76.6, 75.8, 83.9, 94.7, 91.2, 86.6, 81.8, 72.1, 78.6
CG42498, 0, 22.9, 5.17, 7.44, 8.85, 10.2, 11.2, 10.2, 7.65, 7.29, 5.85, 4.52, 5.26
CG42503, 0, 10.2, 11.4, 14.3, 10.4, 9.22, 7.94, 8.6, 4.54, 6.11, 10.2, 23.2, 24.5
CG42507, 0, 10.6, 20.7, 19.5, 30.3, 24.9, 30.9, 28.1, 20.5, 14.5, 12.6, 9.88, 8.45
CG42511, 0, 14.4, 6.32, 13.8, 13.6, 11.4, 14.2, 11.4, 10.1, 6.6, 4.72, 3.32, 3.54
CG42516, 0, 36.3, 44.2, 44.9, 29.4, 26.9, 14.8, 16.5, 10.6, 7.85, 3.83, 5.99, 7.66
CG42518, 0, 12.6, 18.8, 21.2, 17.2, 16.9, 18.9, 12.8, 6.75, 7.05, 6.83, 7.68, 8.87
CG42550, 0, 12.6, 18.5, 23.8, 15.8, 17.5, 11.2, 11.2, 2.51, 3.05, 1.5, 1.61, 2.62
CG42557, 0, 15.7, 15.7, 18.0, 12.9, 13.9, 15.0, 13.3, 11.7, 9.28, 5.82, 5.71, 7.08
CG42558, 0, 15.7, 15.7, 18.0, 12.9, 13.9, 15.0, 13.3, 11.7, 9.28, 5.82, 5.71, 7.08
CG42586, 2, 8.5, 38.3, 97.4, 306.0, 357.0, 253.0, 220.0, 267.0, 244.0, 283.0, 393.0, 282.0
CG42587, 0, 0.0243, 0.107, 0.127, 2.33, 2.36, 7.14, 5.61, 11.7, 29.1, 29.3, 8.86, 5.72
CG42593, 0, 17.7, 14.5, 12.6, 11.4, 12.5, 12.7, 11.7, 10.4, 8.31, 6.46, 6.04, 6.57
CG42630, 0, 50.3, 68.2, 30.4, 24.2, 36.6, 62.0, 42.8, 50.5, 42.0, 31.9, 34.7, 36.3
CG42656, 0, 0.0, 0.0272, 0.0654, 0.0, 0.195, 0.183, 0.174, 0.821, 10.2, 21.4, 33.9, 56.6
CG4266, 0, 21.9, 31.6, 32.4, 32.1, 24.5, 19.3, 16.3, 16.1, 12.2, 8.7, 14.2, 11.6
CG42678, 0, 8.85, 15.2, 21.2, 17.9, 13.8, 10.8, 12.1, 17.5, 22.4, 16.7, 9.2, 9.35
CG42724, 0, 8.15, 18.5, 31.7, 22.9, 18.1, 11.8, 14.4, 8.95, 6.54, 4.35, 5.9, 5.44
CG42728, 0, 0.079, 0.0444, 0.0969, 0.0776, 0.135, 0.209, 0.183, 1.59, 12.3, 35.4, 54.4, 77.6
