gene_name,em0-2hr,em2-4hr,em4-6hr,em6-8hr,em8-10hr,em10-12hr,em12-14hr,em14-16hr,em16-18hr,em18-20hr,em20-22hr,em22-24hr
CG43236,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.09E-02
CG43237,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG4324,4.58E-02,1.65E-01,5.33E-01,2.10E+00,3.56E+00,6.71E+00,7.35E+00,1.21E+01,2.43E+00,7.96E-01,3.16E-01,4.80E-01
CG43243,0.00E+00,1.17E-02,5.08E-04,2.11E-02,7.01E-02,5.15E-02,1.54E-01,1.90E-01,3.44E-01,5.18E-01,7.50E-01,1.07E+00
CG43244,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E-02,0.00E+00,2.48E-02,3.49E-02,3.42E-02,5.03E-03,0.00E+00
CG43245,4.41E-03,5.99E-02,1.94E-01,8.08E-01,1.11E+00,1.48E+00,1.39E+00,5.52E-01,2.28E-01,1.74E-01,1.43E-01,1.57E-01
CG43246,0.00E+00,0.00E+00,0.00E+00,1.98E-02,0.00E+00,0.00E+00,7.35E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43247,0.00E+00,3.94E-02,1.48E-01,1.32E-01,1.47E-02,1.09E-02,5.78E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-02
CG43248,0.00E+00,0.00E+00,1.01E-01,1.09E-01,8.72E-02,1.60E-01,2.37E-01,6.15E-02,1.30E-01,1.48E-02,3.44E-02,3.93E-02
CG43249,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-02,1.79E-02,1.89E-02
CG4325,2.10E-02,1.12E-01,4.25E-01,6.91E-01,9.56E-01,5.87E-01,5.72E-01,4.90E-01,5.87E-01,2.61E-01,2.60E-02,8.52E-02
CG43250,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.03E-02,2.31E-02,0.00E+00,2.68E-02,2.89E-02,1.17E-02,0.00E+00,1.18E-02
CG43251,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-02,0.00E+00,5.52E-02,1.97E-02
CG43252,4.08E-02,3.69E-01,2.49E+00,2.64E+00,2.33E+00,9.99E-01,5.48E-01,2.76E-01,1.85E-01,9.54E-02,1.21E-01,1.14E-01
CG43253,3.64E-03,0.00E+00,0.00E+00,8.91E-03,1.03E-02,5.25E-02,7.42E-02,2.92E-02,4.10E-02,4.03E-02,1.12E-02,1.61E-02
CG43254,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E-02,4.60E-04,0.00E+00,1.08E-02,4.24E-02,0.00E+00,0.00E+00
CG43255,0.00E+00,4.18E-02,1.84E-02,8.35E-02,2.60E-02,1.74E-02,9.81E-02,0.00E+00,4.13E-02,4.71E-02,0.00E+00,6.53E-02
CG43260,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.57E-03,1.18E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43265,0.00E+00,1.16E-02,4.12E-02,2.01E-02,0.00E+00,1.92E-02,7.20E-03,1.11E-02,0.00E+00,0.00E+00,0.00E+00,9.08E-03
CG43266,5.08E-01,2.52E+00,6.22E+00,8.00E+00,9.75E+00,9.67E+00,6.18E+00,5.17E+00,3.46E+00,3.02E+00,2.17E+00,2.14E+00
CG43267,0.00E+00,6.31E-02,1.32E-01,1.36E-01,6.36E-02,9.71E-02,2.00E-01,7.48E-02,8.11E-02,1.19E-01,8.18E-02,1.31E-01
CG43271,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43272,0.00E+00,1.66E-02,0.00E+00,0.00E+00,5.02E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43273,2.05E+00,2.69E+00,2.86E+00,2.24E+00,2.75E+00,3.63E+00,3.84E+00,4.24E-01,7.73E-01,6.83E-01,9.27E-01,1.54E+00
CG43277,0.00E+00,1.89E-02,1.12E-02,0.00E+00,0.00E+00,4.69E-02,1.11E-01,1.05E-01,1.17E-01,1.01E-01,6.24E-02,5.73E-02
CG43278,1.74E-03,0.00E+00,6.93E-03,1.68E-03,1.97E-03,8.07E-03,1.26E-03,3.48E-03,1.01E-02,2.06E-02,0.00E+00,1.53E-03
CG4328,2.96E-03,3.33E-03,7.89E-03,5.77E-02,1.96E-01,6.77E-01,8.48E-01,9.30E-01,1.01E+00,1.27E+00,8.66E-01,1.06E+00
CG43285,0.00E+00,0.00E+00,9.15E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.13E-02,1.24E-02,7.69E-02,0.00E+00,0.00E+00
CG43287,1.35E-01,3.36E-01,3.02E-01,3.34E-01,5.10E-01,3.84E-01,6.95E-01,6.51E-01,3.94E-01,5.20E-01,4.71E-01,5.43E-01
CG43288,0.00E+00,0.00E+00,0.00E+00,8.61E-02,0.00E+00,7.78E-02,1.60E-03,0.00E+00,1.88E-02,9.99E-03,0.00E+00,0.00E+00
CG43289,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-02,0.00E+00,0.00E+00,0.00E+00
